CONV_VALCH1 (N),CONV_VALCH2 (N),CONV_VALCH3 (N),TIMESTAMP (us)
-3.7903,-5.7385,-5.2972,1380000,
-3.7912,-5.7578,-5.2835,1385000,
-3.8104,-5.7477,-5.2890,1390000,
-3.7738,-5.7568,-5.2863,1395000,
-3.7610,-5.7367,-5.2872,1400000,
-4.0283,-5.7468,-5.2716,1405000,
-3.7610,-5.7458,-5.2927,1410000,
-3.7527,-5.7321,-5.2844,1415000,
-3.7720,-5.7312,-5.2945,1420000,
-3.8058,-5.7349,-5.2908,1425000,
-3.8040,-5.7285,-5.2863,1430000,
-3.7573,-5.7367,-5.2817,1435000,
-3.7848,-5.7632,-5.2817,1440000,
-3.8040,-5.7532,-5.2954,1445000,
-3.8040,-5.7477,-5.2872,1450000,
-4.0448,-5.7532,-5.2954,1455000,
-3.7939,-5.7339,-5.3064,1460000,
-3.8150,-5.7349,-5.2853,1465000,
-3.7491,-5.7422,-5.2707,1470000,
-3.7830,-5.6992,-5.2917,1475000,
-3.7646,-5.7202,-5.2982,1480000,
-3.8049,-5.7458,-5.2917,1485000,
-3.7619,-5.7495,-5.2798,1490000,
-3.8104,-5.7504,-5.2780,1495000,
-3.7436,-5.7422,-5.2917,1500000,
-4.0265,-5.7385,-5.2972,1505000,
-3.7335,-5.7596,-5.2771,1510000,
-3.7573,-5.7303,-5.2753,1515000,
-3.7564,-5.7486,-5.2817,1520000,
-3.7802,-5.7202,-5.2835,1525000,
-3.7820,-5.7532,-5.2936,1530000,
-3.7820,-5.7376,-5.3027,1535000,
-3.7546,-5.7559,-5.2899,1540000,
-3.7582,-5.7449,-5.2936,1545000,
-3.8004,-5.7385,-5.2945,1550000,
-4.0073,-5.7660,-5.2881,1555000,
-3.7656,-5.7385,-5.3009,1560000,
-3.7518,-5.7339,-5.2853,1565000,
-3.7646,-5.7413,-5.2844,1570000,
-3.7418,-5.7248,-5.2725,1575000,
-3.7674,-5.7230,-5.2963,1580000,
-3.7912,-5.7358,-5.2927,1585000,
-3.7619,-5.7468,-5.2817,1590000,
-3.7363,-5.7678,-5.2798,1595000,
-3.7775,-5.7230,-5.3064,1600000,
-3.9908,-5.7257,-5.3009,1605000,
-3.7784,-5.7239,-5.2826,1610000,
-3.7921,-5.7559,-5.2927,1615000,
-3.7958,-5.7285,-5.2872,1620000,
-3.7775,-5.7312,-5.2835,1625000,
-3.7592,-5.7138,-5.2844,1630000,
-3.7537,-5.7312,-5.2963,1635000,
-3.7921,-5.7376,-5.2936,1640000,
-3.7885,-5.7486,-5.2698,1645000,
-3.8113,-5.7578,-5.2954,1650000,
-4.0063,-5.7504,-5.2945,1655000,
-3.7518,-5.7458,-5.2835,1660000,
-3.7775,-5.7513,-5.2890,1665000,
-3.7564,-5.7431,-5.2826,1670000,
-3.7976,-5.7367,-5.2963,1675000,
