CONV_VALUE (V),TIMESTAMP (us)
93.9396,3460000,
94.0403,3465000,
93.9488,3470000,
94.0357,3475000,
94.0723,3480000,
93.9762,3485000,
94.0723,3490000,
93.9259,3495000,
94.0403,3500000,
94.2187,3505000,
94.0723,3510000,
93.9579,3515000,
94.1318,3520000,
94.0723,3525000,
94.0265,3530000,
94.0082,3535000,
94.0586,3540000,
94.1318,3545000,
93.9716,3550000,
94.4017,3555000,
94.0082,3560000,
94.1135,3565000,
94.1958,3570000,
94.0220,3575000,
93.9808,3580000,
93.8847,3585000,
93.9899,3590000,
93.9488,3595000,
94.1638,3600000,
94.3285,3605000,
94.0997,3610000,
94.1684,3615000,
94.0952,3620000,
94.0082,3625000,
94.1684,3630000,
94.1180,3635000,
94.1089,3640000,
94.0174,3645000,
94.0997,3650000,
94.4109,3655000,
93.9167,3660000,
93.9533,3665000,
94.0677,3670000,
94.0860,3675000,
94.0586,3680000,
94.0814,3685000,
94.0769,3690000,
94.0769,3695000,
93.9945,3700000,
94.3514,3705000,
94.0677,3710000,
94.0814,3715000,
93.9808,3720000,
94.0631,3725000,
94.0906,3730000,
94.0631,3735000,
93.9030,3740000,
94.1775,3745000,
94.0494,3750000,
94.3011,3755000,
93.9533,3760000,
93.9991,3765000,
93.9808,3770000,
94.0037,3775000,
93.9442,3780000,
94.0677,3785000,
94.0265,3790000,
94.0220,3795000,
93.9305,3800000,
94.3240,3805000,
93.9716,3810000,
93.9716,3815000,
94.1226,3820000,
93.9671,3825000,
94.0265,3830000,
94.2462,3835000,
93.8938,3840000,
93.9991,3845000,
94.1547,3850000,
94.3697,3855000,
94.0540,3860000,
94.0448,3865000,
94.9874,3870000,
94.8730,3875000,
94.0723,3880000,
94.0037,3885000,
94.2553,3890000,
94.0448,3895000,
94.0128,3900000,
94.2050,3905000,
94.1455,3910000,
93.9396,3915000,
93.8572,3920000,
94.1638,3925000,
94.0082,3930000,
93.8984,3935000,
93.9625,3940000,
93.8938,3945000,
93.7840,3950000,
94.2828,3955000,
94.1135,3960000,
93.9899,3965000,
93.9671,3970000,
94.0631,3975000,
94.0448,3980000,
93.8893,3985000,
94.1180,3990000,
93.8893,3995000,
93.9533,4000000,
94.3468,4005000,
94.0403,4010000,
94.0494,4015000,
93.9854,4020000,
94.0128,4025000,
94.0357,4030000,
94.1592,4035000,
94.1318,4040000,
93.9716,4045000,
93.8938,4050000,
94.1409,4055000,
93.9533,4060000,
94.0311,4065000,
93.9076,4070000,
94.1821,4075000,
94.2004,4080000,
93.9076,4085000,
94.0952,4090000,
93.8206,4095000,
93.9533,4100000,
94.1958,4105000,
94.1043,4110000,
94.0448,4115000,
93.9442,4120000,
93.9396,4125000,
93.9488,4130000,
94.0677,4135000,
94.0677,4140000,
94.1409,4145000,
94.0494,4150000,
94.3468,4155000,
94.0311,4160000,
94.1043,4165000,
93.9716,4170000,
93.9671,4175000,
93.9350,4180000,
94.2645,4185000,
93.9762,4190000,
93.9121,4195000,
93.8710,4200000,
94.2599,4205000,
93.8618,4210000,
94.1547,4215000,
93.9259,4220000,
93.8572,4225000,
93.9533,4230000,
94.0311,4235000,
93.9991,4240000,
94.0220,4245000,
94.0037,4250000,
94.3926,4255000,
93.9716,4260000,
94.0494,4265000,
94.0814,4270000,
94.3285,4275000,
93.9305,4280000,
94.1089,4285000,
94.1547,4290000,
94.2324,4295000,
94.0769,4300000,
94.1364,4305000,
93.9259,4310000,
94.0677,4315000,
93.9030,4320000,
93.9854,4325000,
93.9854,4330000,
94.0448,4335000,
94.1958,4340000,
94.1455,4345000,
93.9259,4350000,
94.2370,4355000,
94.2828,4360000,
94.1318,4365000,
93.9945,4370000,
94.0311,4375000,
94.0220,4380000,
93.8847,4385000,
94.0814,4390000,
94.0220,4395000,
94.0906,4400000,
94.2919,4405000,
94.0906,4410000,
93.9442,4415000,
94.1318,4420000,
93.9396,4425000,
93.9808,4430000,
93.8755,4435000,
94.0860,4440000,
93.9167,4445000,
94.1821,4450000,
94.4017,4455000,
94.0769,4460000,
94.0586,4465000,
93.8938,4470000,
93.9991,4475000,
94.0357,4480000,
93.9671,4485000,
93.9076,4490000,
94.0311,4495000,
93.9396,4500000,
94.1913,4505000,
94.0448,4510000,
94.0586,4515000,
93.8481,4520000,
93.8755,4525000,
94.0769,4530000,
94.0311,4535000,
94.2553,4540000,
94.0220,4545000,
94.0814,4550000,
94.1821,4555000,
93.9991,4560000,
93.9396,4565000,
94.0448,4570000,
93.9030,4575000,
94.0631,4580000,
94.1592,4585000,
94.0128,4590000,
94.0586,4595000,
93.8572,4600000,
94.2050,4605000,
94.0769,4610000,
94.1455,4615000,
94.1730,4620000,
94.1913,4625000,
93.9350,4630000,
93.8527,4635000,
94.1409,4640000,
93.9991,4645000,
94.0723,4650000,
94.2782,4655000,
93.9167,4660000,
94.0357,4665000,
94.0357,4670000,
93.9716,4675000,
94.1272,4680000,
94.0494,4685000,
93.9167,4690000,
94.0814,4695000,
93.9716,4700000,
94.3651,4705000,
93.9167,4710000,
94.1775,4715000,
94.0540,4720000,
94.0586,4725000,
94.1409,4730000,
94.0174,4735000,
94.0357,4740000,
93.9259,4745000,
94.0403,4750000,
94.3011,4755000,
94.1089,4760000,
93.9716,4765000,
94.0265,4770000,
93.9671,4775000,
94.0174,4780000,
93.9899,4785000,
94.1135,4790000,
94.1318,4795000,
93.9442,4800000,
94.2553,4805000,
94.2141,4810000,
93.9716,4815000,
94.1226,4820000,
93.9488,4825000,
94.1501,4830000,
93.9442,4835000,
93.9899,4840000,
94.1364,4845000,
94.2553,4850000,
94.0997,4855000,
94.0631,4860000,
94.0952,4865000,
93.8938,4870000,
93.9808,4875000,
93.9899,4880000,
93.9076,4885000,
93.8023,4890000,
94.1226,4895000,
93.9945,4900000,
94.3102,4905000,
94.0723,4910000,
93.9808,4915000,
94.1455,4920000,
93.9716,4925000,
93.8298,4930000,
94.1867,4935000,
94.0128,4940000,
93.9945,4945000,
93.9396,4950000,
94.3194,4955000,
94.1043,4960000,
94.1272,4965000,
94.4566,4970000,
94.1043,4975000,
94.0723,4980000,
94.0952,4985000,
94.0357,4990000,
94.1547,4995000,
94.0220,5000000,
94.2462,5005000,
94.0814,5010000,
93.9305,5015000,
93.9671,5020000,
94.0220,5025000,
93.9991,5030000,
94.0403,5035000,
93.9442,5040000,
93.9671,5045000,
94.0906,5050000,
94.2507,5055000,
94.1455,5060000,
93.9488,5065000,
93.9991,5070000,
94.3011,5075000,
94.0174,5080000,
93.8710,5085000,
94.0311,5090000,
94.1455,5095000,
94.1135,5100000,
94.2416,5105000,
94.0723,5110000,
93.9762,5115000,
94.0403,5125000,
93.2990,5130000,
94.1409,5135000,
94.1409,5140000,
93.8801,5145000,
93.9579,5150000,
94.4063,5155000,
94.8410,5160000,
94.1775,5165000,
93.9762,5170000,
94.0357,5175000,
93.8389,5180000,
93.9305,5185000,
93.1343,5190000,
94.0723,5195000,
94.1821,5200000,
94.0997,5205000,
93.9076,5210000,
94.1501,5215000,
93.9762,5220000,
94.0814,5225000,
94.1913,5230000,
94.2553,5235000,
94.1272,5240000,
94.1135,5245000,
94.1547,5250000,
94.3102,5255000,
93.9899,5260000,
93.9808,5265000,
94.2050,5270000,
94.0128,5275000,
93.9671,5280000,
93.9625,5285000,
94.1272,5290000,
94.1913,5295000,
94.1226,5300000,
94.3743,5305000,
94.1043,5310000,
94.0037,5315000,
93.9991,5320000,
94.1318,5325000,
94.1455,5330000,
93.9671,5335000,
94.1089,5340000,
94.0311,5345000,
93.9625,5350000,
94.3697,5355000,
94.0952,5360000,
94.1089,5365000,
93.9945,5370000,
94.0174,5375000,
94.1958,5380000,
93.9945,5385000,
93.9671,5390000,
94.0906,5395000,
93.9442,5400000,
94.2096,5405000,
94.1775,5410000,
94.1226,5415000,
93.9625,5420000,
94.0494,5425000,
93.9762,5430000,
94.0814,5435000,
94.1226,5440000,
94.0540,5445000,
94.0540,5450000,
94.3056,5455000,
94.2370,5460000,
93.9899,5465000,
94.1318,5470000,
93.9671,5475000,
94.0494,5480000,
93.9579,5485000,
94.0220,5490000,
93.9488,5495000,
93.9945,5500000,
94.2965,5505000,
93.9579,5510000,
93.9854,5515000,
93.9991,5520000,
94.1318,5525000,
93.9854,5530000,
94.0860,5535000,
94.0448,5540000,
94.2782,5545000,
93.9488,5550000,
94.3926,5555000,
93.8801,5560000,
94.1547,5565000,
94.0540,5570000,
94.1135,5575000,
93.8710,5580000,
94.2370,5585000,
94.0311,5590000,
94.0403,5595000,
93.9442,5600000,
94.3285,5605000,
94.0220,5610000,
94.1730,5615000,
94.0174,5620000,
94.0220,5625000,
93.8938,5630000,
94.0037,5635000,
93.8801,5640000,
94.0860,5645000,
94.0952,5650000,
94.2782,5655000,
94.0220,5660000,
93.9121,5665000,
94.2416,5670000,
93.9442,5675000,
93.9899,5680000,
93.9854,5685000,
94.0357,5690000,
94.1821,5695000,
93.9991,5700000,
94.3331,5705000,
93.9579,5710000,
94.0128,5715000,
94.1867,5720000,
94.0311,5725000,
93.9762,5730000,
93.9991,5735000,
93.9808,5740000,
93.9533,5745000,
94.0860,5750000,
94.2691,5755000,
94.1501,5760000,
94.1226,5765000,
94.0769,5770000,
93.9762,5775000,
93.9076,5780000,
94.0037,5785000,
93.9167,5790000,
93.9945,5795000,
94.0769,5800000,
94.2873,5805000,
94.2553,5810000,
94.0448,5815000,
94.1318,5820000,
93.8252,5825000,
93.9991,5830000,
94.0128,5835000,
94.1272,5840000,
93.9854,5845000,
93.9579,5850000,
94.2691,5855000,
94.0906,5860000,
93.9350,5865000,
94.1272,5870000,
94.2324,5875000,
93.9442,5880000,
94.1409,5885000,
94.2507,5890000,
93.9716,5895000,
94.0906,5900000,
94.2736,5905000,
93.9350,5910000,
94.0220,5915000,
93.9625,5920000,
93.9854,5925000,
94.0037,5930000,
94.1135,5935000,
94.1913,5940000,
94.0997,5945000,
94.0586,5950000,
94.1867,5955000,
94.1958,5960000,
94.0586,5965000,
93.9442,5970000,
94.1318,5975000,
94.1272,5980000,
94.0860,5985000,
94.0265,5990000,
93.9030,5995000,
93.8984,6000000,
94.2919,6005000,
93.9030,6010000,
93.9945,6015000,
94.1958,6020000,
93.9167,6025000,
94.2965,6030000,
94.0037,6035000,
93.9625,6040000,
94.1730,6045000,
94.1180,6050000,
94.3011,6055000,
94.0631,6060000,
94.0723,6065000,
94.0814,6070000,
93.9991,6075000,
93.9991,6080000,
93.9899,6085000,
93.9442,6090000,
94.0357,6095000,
93.9396,6100000,
94.3148,6105000,
93.9213,6110000,
93.9762,6115000,
94.0220,6120000,
94.0265,6125000,
94.2050,6130000,
94.1318,6135000,
93.9991,6140000,
94.1409,6145000,
94.0357,6150000,
94.2782,6155000,
94.0128,6160000,
93.9945,6165000,
94.0220,6170000,
94.0906,6175000,
94.0814,6180000,
94.0311,6185000,
94.0677,6190000,
93.9945,6195000,
93.9671,6200000,
94.3834,6205000,
94.1775,6210000,
93.8115,6215000,
93.9396,6220000,
94.0128,6225000,
94.0128,6230000,
93.9945,6235000,
94.1821,6240000,
93.9854,6245000,
94.3056,6250000,
94.2599,6255000,
94.1684,6260000,
94.0037,6265000,
93.9991,6270000,
94.2370,6275000,
94.1592,6280000,
94.0357,6285000,
94.0723,6290000,
93.9305,6295000,
93.9808,6300000,
94.3789,6305000,
94.1043,6310000,
94.2370,6315000,
94.1364,6320000,
94.0814,6325000,
93.9945,6330000,
94.1043,6335000,
94.0448,6340000,
94.1318,6345000,
93.9579,6350000,
94.2645,6355000,
94.0906,6360000,
93.9305,6365000,
93.7612,6370000,
94.0494,6375000,
94.0952,6380000,
94.0860,6385000,
94.1592,6390000,
94.0311,6395000,
93.9213,6400000,
94.3240,6405000,
94.2050,6410000,
93.9121,6415000,
94.1592,6420000,
94.0494,6425000,
94.0769,6430000,
94.0403,6435000,
94.8227,6440000,
94.1226,6445000,
93.8527,6450000,
94.1364,6455000,
94.6671,6460000,
94.0128,6465000,
94.1547,6470000,
94.1089,6475000,
93.9899,6480000,
94.0952,6485000,
94.0311,6490000,
94.1501,6495000,
93.9579,6500000,
94.3056,6505000,
93.9671,6510000,
93.7612,6515000,
93.9259,6520000,
93.8801,6525000,
94.0540,6530000,
93.9533,6535000,
94.0814,6540000,
93.9350,6545000,
94.0128,6550000,
94.2965,6555000,
94.0403,6560000,
94.0357,6565000,
94.1318,6570000,
94.0997,6575000,
94.0906,6580000,
94.0082,6585000,
94.0723,6590000,
93.9167,6595000,
94.0723,6600000,
94.1547,6605000,
94.1913,6610000,
94.1867,6615000,
93.9808,6620000,
94.0220,6625000,
93.9854,6630000,
93.9671,6635000,
93.9030,6640000,
94.0403,6645000,
93.9305,6650000,
94.2599,6655000,
94.1730,6660000,
94.0814,6665000,
94.0723,6670000,
93.9488,6675000,
93.9808,6680000,
94.1043,6685000,
93.9762,6690000,
94.4658,6695000,
94.1226,6700000,
94.3880,6705000,
94.4750,6710000,
94.3514,6715000,
94.0769,6720000,
93.9259,6725000,
94.0174,6730000,
94.1226,6735000,
94.1089,6740000,
94.0403,6745000,
93.9808,6750000,
94.4292,6755000,
94.1364,6760000,
93.9671,6765000,
94.0631,6770000,
94.0448,6775000,
94.0128,6780000,
94.1089,6785000,
94.0814,6790000,
93.9991,6795000,
94.1547,6800000,
94.3194,6805000,
94.1592,6810000,
94.1272,6815000,
93.9716,6820000,
94.0997,6825000,
94.0357,6830000,
94.0265,6835000,
94.0494,6840000,
93.9305,6845000,
93.9671,6850000,
94.4200,6855000,
94.0448,6860000,
93.9305,6865000,
94.0448,6870000,
94.1318,6875000,
94.1501,6880000,
94.1501,6885000,
94.0860,6890000,
94.1638,6895000,
94.0631,6900000,
94.4795,6905000,
93.9396,6910000,
94.0860,6915000,
94.0677,6920000,
94.2691,6925000,
94.0540,6930000,
94.1958,6935000,
93.9671,6940000,
94.1684,6945000,
93.9030,6950000,
94.3102,6955000,
94.1226,6960000,
94.2141,6965000,
94.0448,6970000,
94.1135,6975000,
94.1135,6980000,
94.2233,6985000,
93.9625,6990000,
94.0906,6995000,
94.1272,7000000,
94.2919,7005000,
93.9442,7010000,
94.0174,7015000,
93.9716,7020000,
94.0037,7025000,
94.2279,7030000,
94.1684,7035000,
94.2828,7040000,
94.2141,7045000,
93.9991,7050000,
94.2370,7055000,
94.0631,7060000,
94.1730,7065000,
93.8801,7070000,
94.1226,7075000,
